TF	target	score
ATF1	UBA6	1
ATF1	LEKR1	1
ATF1	TAPT1	1
ATF2	MARK4	1
ATF2	CITED4	1
ATF2	TSPAN31	1
ATF2	SAMD4B	1
ATF2	MIR4646	1
ATF2	MEF2D	1
ATF2	NR3C1	1
ATF2	EBF1	1
ATF2	NCALD	1
ATF2	C6orf106	1
ATF2	PPM1N	1
ATF2	MLF2	1
ATF2	SMAD3	1
ATF2	CREM	1
ATF2	FOS	1
ATF2	ZCWPW1	1
ATF2	FOSB	1
ATF2	DDX51	1
ATF2	SCO2	1
ATF2	SASH1	1
ATF2	MIR3180-5	1
ATF2	RAB25	1
ATF2	NOS3	1
ATF2	CREB5	1
ATF2	RNF44	1
ATF2	TRAK1	1
ATF2	ERP29	1
ATF2	CSNK1G2	1
ATF2	RCE1	1
ATF2	ELAVL1	1
ATF2	PER1	1
ATF2	TOB1	1
ATF2	ATG5	1
ATF2	MAP2K1	1
ATF2	PKD1	1
ATF2	IL11	1
ATF2	CIRBP-AS1	1
ATF2	LPP	1
ATF2	BRE	1
ATF2	CRABP2	1
ATF2	COX4I1	1
ATF2	MRPL4	1
ATF2	IPO11	1
ATF2	PRRT2	1
ATF2	RPS27	1
ATF2	TEX14	1
ATF2	ANKRD11	1
ATF2	CHPF	1
ATF2	TBPL2	1
ATF2	CREB3L2	1
ATF2	TMF1	1
ATF2	ID3	1
ATF2	DUSP1	1
ATF2	FILIP1L	1
ATF2	LIG3	1
ATF2	S1PR2	1
ATF2	MEF2C	1
ATF2	OXSR1	1
ATF2	PRR3	1
ATF2	DUSP10	1
ATF2	RPP14	1
ATF2	LYN	1
ATF2	C19orf26	1
ATF2	TOM1	1
ATF2	ID1	1
ATF2	SCN1B	1
ATF2	TIAM1	1
ATF2	SNORD79	1
ATF2	ADK	1
ATF2	SPTBN1	1
ATF2	PLK3	1
ATF2	PLAT	1
ATF2	PINX1	1
ATF2	DCUN1D3	1
ATF2	INHBE	1
ATF2	MIR4738	1
ATF2	MAP1LC3A	1
ATF2	MRPL34	1
ATF2	SMARCA2	1
ATF2	RCCD1	1
ATF2	MIR4444-1	1
ATF2	JUND	1
ATF2	FAM76A	1
ATF2	FBXO42	1
ATF2	ZNF593	1
ATF2	SLC31A1	1
ATF2	CTBP2	1
ATF2	ZFHX3	1
