miRNA	target	score
hsa-let-7b-5p	CTHRC1	1
hsa-let-7b-5p	PDPR	1
hsa-let-7b-5p	AP1S1	1
hsa-let-7b-5p	RNF44	1
hsa-let-7b-5p	LIN28B	1
hsa-let-7b-5p	IRS2	1
hsa-let-7b-5p	USP38	1
hsa-let-7b-5p	RDH10	1
hsa-let-7b-5p	FMO4	1
hsa-let-7b-5p	CPED1	1
hsa-let-7b-5p	DHX57	1
hsa-let-7b-5p	GALNT2	1
hsa-let-7b-5p	RNF115	1
hsa-let-7b-5p	DUSP1	1
hsa-let-7b-5p	CDKAL1	1
hsa-let-7b-5p	AGO1	1
hsa-let-7b-5p	PEX11B	1
hsa-let-7b-5p	NME4	1
hsa-let-7b-5p	EDN1	1
hsa-let-7b-5p	KLHDC8B	1
hsa-let-7b-5p	IGF2BP3	1
hsa-let-7b-5p	NRAS	1
hsa-let-7b-5p	MSN	1
hsa-let-7b-5p	CCNY	1
hsa-let-7b-5p	SFMBT1	1
hsa-let-7b-5p	STX3	1
hsa-let-7b-5p	PALD1	1
hsa-let-7b-5p	CDKN1A	1
hsa-let-7b-5p	RAB3GAP2	1
hsa-let-7b-5p	SLC16A9	1
hsa-let-7b-5p	ARID3A	1
hsa-let-7b-5p	THBS1	1
hsa-let-7b-5p	ATP6V1G1	1
hsa-let-7b-5p	SLF2	1
hsa-let-7b-5p	PLEKHO1	1
hsa-let-7b-5p	CPA4	1
hsa-let-7b-5p	MOB1A	1
hsa-let-7b-5p	SDR42E1	1
hsa-let-7b-5p	ZNF652	1
hsa-let-7b-5p	IGF1R	1
hsa-let-7b-5p	MDM4	1
hsa-let-7b-5p	CRY2	1
hsa-let-7b-5p	C5orf51	1
hsa-let-7b-5p	IKZF3	1
hsa-let-7b-5p	MIEF1	1
hsa-let-7b-5p	DMD	1
hsa-let-7b-5p	PPP1R15B	1
hsa-let-7b-5p	EPHA4	1
hsa-let-7b-5p	LIN28A	1
hsa-let-7b-5p	PLD3	1
hsa-let-7b-5p	SOX13	1
hsa-let-7b-5p	DLC1	1
hsa-let-7b-5p	TGFBR1	1
hsa-let-7b-5p	GRPEL2	1
hsa-let-7b-5p	LIMD2	1
hsa-let-7b-5p	EDEM3	1
hsa-let-7b-5p	TMED4	1
hsa-let-7b-5p	MTUS1	1
hsa-let-7b-5p	LBR	1
hsa-let-7b-5p	MSI2	1
hsa-let-7b-5p	BZW2	1
hsa-let-7b-5p	RBFOX2	1
hsa-let-7b-5p	SOCS1	1
hsa-let-7b-5p	CCND1	1
